"X","TODO","bibref","Var1","Relation","Var2","Cor","Process","Topic","Stage","Type","Subtype","Test","Stat","Confirmed","Languages","Species","Confidence","Notes","General.description"
27,NA,"batali94innateBiases","genetic selection: grammaticality judgments",">","innate bias: syntax acquisition","pos",NA,"Syntax","coevolution","simulation","neural network",NA,NA,"yes",NA,NA,NA,NA,NA
28,NA,"batali94innateBiases","cognition: stack",">","innate bias: syntax acquisition","pos",NA,"Syntax","coevolution","simulation","neural network",NA,NA,"yes",NA,NA,NA,NA,NA
29,NA,"batali94innateBiases","innate bias: syntax acquisition",">","critical period","pos",NA,"Syntax","coevolution","simulation","neural network",NA,NA,"yes",NA,NA,NA,NA,NA
