"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"pronoun drop","~","verb indexation: subject","pos","","language change","statistical","","We show that agreement syncretisation and the emergence of overt pronominal subjects proceeded at the same rate.","simonenko2017taraldsen"
"verb indexation: subject",">","pronoun drop","pos","","language change","hypothesis","","One of the major factors evoked in relation to the disappearance of null subjects in the history of French is syncretisation of subject agreement inflection on the verb.","simonenko2017taraldsen"
