"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"linguistic frame of reference",">","gestural frame of reference","none","Spatial language;Deixis","cultural evolution","qualitative","yes",NA,"haviland1993anchoring"
"linguistic frame of reference","~","absolute frame of reference","","Spatial language;Deixis","cultural evolution","qualitative","yes",NA,"haviland1993anchoring"
"absolute frame of reference",">","body orientation","","Spatial language;Deixis","cultural evolution","qualitative","yes",NA,"haviland1993anchoring"
"body orientation","~","gestural frame of reference","","Spatial language;Deixis","cultural evolution","qualitative","yes",NA,"haviland1993anchoring"
"linguistic frame of reference",">","body orientation","","Spatial language;Deixis","cultural evolution","qualitative","yes",NA,"haviland1993anchoring"
