"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"subjective listener",">","subjectification of message","","Semantics","language change","model","yes","subjective listener: uncooperative listeners, exploiting signals for reading speakers’ minds (i.e. beliefs, goals and intentions). Subjective listener and objective speaker is the evolutionarily stable strategy combination (game theoretic modeling) leading to semantic subjectification","evolang11_110"
"objective speaker",">","subjectification of message","","Semantics","language change","model","yes","objective speaker: cooperative speaker, with no attempt to manipulate receivers (e.g. by altering their construal of reality). ","evolang11_110"
