"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"landmark cues","~","culture",NA,"Spatial language;Deixis","coevolution","hypothesis","none",NA,"li2002turning"
"landmark cues",">","non-linguistic frame of reference",NA,"Spatial language;Deixis","cultural evolution","experiment","yes",NA,"li2002turning"
"landmark cues",">","linguistic frame of reference",NA,"Spatial language;Deixis","cultural evolution","experiment","yes",NA,"li2002turning"
