"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"multilingualism: receptive",">","linguistic diversity","pos","bilingualism","language change","qualitative","none","receptive multilingualism (the habit of people talking different languages in one conversation) supports linguistic diversity in contexts of small-scale multilingualism by allowing speakers to stick to their preferred language in more contexts","singer2018small"
"patrilineal language identity",">","linguistic diversity","pos","bilingualism","language change","qualitative","none","affiliation with one's father's father's language supports linguistic diversity in small-scale multilingual contexts,by acting as a bulwark against shift to a single language","singer2018small"
