"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"sharing consonants",">","systematicity","pos","Lexicology","cultural evolution","statistical","none","corpus study of word-form word-meaning systematicity in Spanish","tamariz2008exploring"
"sharing stress pattern",">","systematicity","pos","Lexicology","cultural evolution","statistical","none","corpus study of word-form word-meaning systematicity in Spanish","tamariz2008exploring"
"sharing the stressed vowel",">","systematicity","neg","Lexicology","cultural evolution","statistical","none","corpus study of word-form word-meaning systematicity in Spanish","tamariz2008exploring"
