"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"population connectivity",">","shared language","pos","","cultural evolution","simulation","","","SegoviaMartinevolang12"
"content bias",">","shared language","pos","","cultural evolution","simulation","","","SegoviaMartinevolang12"
"egocentric bias",">","shared language","neg","","cultural evolution","simulation","","","SegoviaMartinevolang12"
"allocentric bias",">","shared language","neg","","cultural evolution","simulation","","","SegoviaMartinevolang12"
"memory capacity",">","shared language","neg","","cultural evolution","simulation","","","SegoviaMartinevolang12"
