"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"connectivity",">","convergence","pos","","cultural evolution","simulation","none","","SegoviaMartinevolang12"
"content bias",">","convergence","pos","","cultural evolution","simulation","none","","SegoviaMartinevolang12"
"egocentric bias",">","convergence","neg","","cultural evolution","simulation","none","","SegoviaMartinevolang12"
"allocentric bias",">","convergence","neg","","cultural evolution","simulation","none","","SegoviaMartinevolang12"
"content bias",">","connectivity","pos","","cultural evolution","simulation","none","","SegoviaMartinevolang12"
