"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"domain-specific system",">","regularisation bias","pos","","language change","experiment","yes","","ferdinand2019cognitive"
"domain-general system",">","regularisation bias","pos","","language change","experiment","yes","","ferdinand2019cognitive"
"cognitive load",">","regularisation bias","pos","","language change","experiment","yes","","ferdinand2019cognitive"
"regularisation bias",">","regularisation of variation","pos","","language change","experiment","yes","","ferdinand2019cognitive"
"cultural transmission",">>","regularisation of variation","pos","","language change","experiment","yes","","ferdinand2019cognitive"
