"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"mean growing season","/>","language diversity","","","language change","statistical","","","Gavin2012"
"climate",">","language diversity","","","language change","statistical","","","Gavin2012"
"habitat diversity",">","language diversity","","","language change","statistical","","","Gavin2012"
"soil fertility",">","language diversity","","","language change","statistical","","","Gavin2012"
"ecological risk",">","language diversity","","","language change","statistical","","","Gavin2012"
"isolation",">","language diversity","","","language change","statistical","","","Gavin2012"
"land area",">","language diversity","","","language change","statistical","","","Gavin2012"
"elevation",">","language diversity","","","language change","statistical","","","Gavin2012"
"time since settlement",">","language diversity","","","language change","statistical","","","Gavin2012"
