"X","TODO","bibref","Var1","Relation","Var2","Cor","Process","Topic","Stage","Type","Subtype","Test","Stat","Confirmed","Languages","Species","Confidence","Notes","General.description"
206,NA,"evolang11_166","visibility",">","signature whistles","neg",NA,"Cognitive psychology;Learning","coevolution","experiment","behavioural",NA,NA,NA,NA,"dolphin",NA,NA,NA
207,NA,"evolang11_166","vocal learning",">>","signature whistles","pos",NA,"Cognitive psychology;Learning","preadaptation","experiment","behavioural",NA,NA,NA,NA,"dolphin",NA,NA,NA
208,NA,"evolang11_166","social interaction",">","signature whistles","pos",NA,"Cognitive psychology;Learning","coevolution","experiment","behavioural",NA,NA,NA,NA,"dolphin",NA,NA,NA
