"name","bibref"
"Vittorio Loreto","dallasta06languageGamesNetworks"
"Luca Dall'Asta","dallasta06microscopicPatterns"
"Andrea Baronchelli","dallasta06microscopicPatterns"
"Stephen A Dewhurst","dewhurst2006dissociating"
"Christopher Barry","dewhurst2006dissociating"
"Zoltán Dörnyei","dornyei2006individual"
"Simon E Fisher","fisher2006eloquent"
"Gary F Marcus","fisher2006eloquent"
"Daniel BM Haun","haun2006cognitive"
"Christian J Rapold","haun2006cognitive"
"Josep Call","haun2006cognitive"
"Gabriele Janzen","haun2006cognitive"
"Stephen C Levinson","haun2006cognitive"
"Victoria Horner","horner2006faithful"
"Andrew Whiten","horner2006faithful"
"Emma Flynn","horner2006faithful"
"Frans BM de Waal","horner2006faithful"
"John L Locke","locke2006language"
"Barry Bogin","locke2006language"
"Daniel Nettle","nettle06costsAndBenefits"
"John R Skoyles","Skoyles_2006"
"Szabolcs Számadó","szamado2006selective"
"Eörs Szathmáry","szamado2006selective"
"Damon Centola","centola2007complex"
"Michael Macy","centola2007complex"
"Damon Centola","centola2007homophily"
"Juan Carlos Gonzalez-Avella","centola2007homophily"
"Victor M Eguiluz","centola2007homophily"
"Maxi San Miguel","centola2007homophily"
"Noam Chomsky","chomsky2007biolinguistic"
"Bernard J Crespi","crespi2007sly"
"Dan Dediu","dediu2007linguistic"
"D Robert Ladd","dediu2007linguistic"
"Carol R Ember","ember2007climate"
"Melvin Ember","ember2007climate"
"Jennifer Hay","hay2007phoneme"
"Laurie Bauer","hay2007phoneme"
"Keith Hunley","hunley07geneticCoevolution"
"G S Cabana","hunley07geneticCoevolution"
"D A Merriwether","hunley07geneticCoevolution"
"J C Long","hunley07geneticCoevolution"
"Erez Lieberman","lieberman2007quantifying"
"Jean-Baptiste Michel","lieberman2007quantifying"
"Joe Jackson","lieberman2007quantifying"
"Tina Tang","lieberman2007quantifying"
"Martin A Nowak","lieberman2007quantifying"
"Kazuo Okanoya","okanoya2007language"
"Mark Pagel","Pageletal2007"
"Quentin D Atkinson","Pageletal2007"
"Andrew Meade","Pageletal2007"
"Jamie Reilly","reilly2007formal"
"Jacob Kean","reilly2007formal"
"Reinhard Selten","selten07languageEmergencePNAS"
"Massimo Warglien","selten07languageEmergencePNAS"
"Paul Vogt","vogt07ECAL"
"Alison Wray","wraygrace2007"
"George W Grace","wraygrace2007"
"Michael A Arbib","Arbib2008PrimateVG"
"Katja Liebal","Arbib2008PrimateVG"
"Simone Pika","Arbib2008PrimateVG"
"Mark Aronoff","aronoff2008language"
"Irit Meir","aronoff2008language"
"Carol Padden","aronoff2008language"
"Wendy Sandler","aronoff2008language"
"Quentin D Atkinson","atkinson2008languages"
"Andrew Meade","atkinson2008languages"
"Chris Venditti","atkinson2008languages"
"Simon J Greenhill","atkinson2008languages"
"Mark Pagel","atkinson2008languages"
"Morten H Christiansen","christiansen2008language"
"Nick Chater","christiansen2008language"
"Kenny R Coventry","coventry2008language"
"Berenice Valdés","coventry2008language"
"Alejandro Castillo","coventry2008language"
"Pedro Guijarro-Fuentes","coventry2008language"
"Clifford Crawford","crawford08"
"Antje Dammel","dammel2008complexity"
"Sebastian Kürschner","dammel2008complexity"
"R M W Dixon","dixon08comparative"
"Corey L Fincher","fincher2008parasite"
"Randy Thornhill","fincher2008parasite"
"Stavroula-Thaleia Kousta","kousta2008investigating"
"David P Vinson","kousta2008investigating"
"Gabriella Vigliocco","kousta2008investigating"
"Wouter Kusters","kusters2008"
"James W Minett","minett04endangeredLanguage"
"William S-Y Wang","minett04endangeredLanguage"
"A Senju","SenjuCsibra2008"
"Gergely Csibra","SenjuCsibra2008"
"Guido Tabellini","tabellini2008institutions"
"Monica Tamariz","tamariz2008exploring"
"George van Driem","van2008origin"
"Sudipta Basu","basu2009memory"
"Marcus Kirk","basu2009memory"
"Greg Waymire","basu2009memory"
"Jennie Björk","bjork2009good"
"Mats Magnusson","bjork2009good"
"Gergely Csibra","CsibraGergely2009"
"György Gergely","CsibraGergely2009"
"T E Currie","curriemace2009"
"Ruth Mace","curriemace2009"
"R M W Dixon","dixon09intro"
"Nicholas Evans","evans2009myth"
"Stephen C Levinson","evans2009myth"
"Simon E Fisher","fisher2009foxp2"
"Constance Scharff","fisher2009foxp2"
"Sharon Goldwater","goldwater2009bayesian"
"Thomas L Griffiths","goldwater2009bayesian"
"Mark Johnson","goldwater2009bayesian"
"Daniel BM Haun","haun2009variation"
"Christian J Rapold","haun2009variation"
"Bruce Hayes","hayes2009natural"
"Péter Siptár","hayes2009natural"
"Kie Zuraw","hayes2009natural"
"Zsuzsa Londe","hayes2009natural"
"Carla L Hudson Kam","hudson2009getting"
"Elissa L Newport","hudson2009getting"
"Anne Kandler","kandler2009investigation"
"Kevin N Laland","kandler2009investigation"
"Robert L Munroe","Munroeetal2009"
"John G Fought","Munroeetal2009"
"Ronald K S Macaulay","Munroeetal2009"
"Efrén O Pérez","perez2009lost"
"Florencia Reali","reali2009evolution"
"Thomas L Griffiths","reali2009evolution"
"Sara C Sereno","sereno2009size"
"Patrick J O'Donnell","sereno2009size"
"Margaret E Sereno","sereno2009size"
"Kaius Sinnemäki","sinnemaki_2009"
"Benedikt Szmrecsanyi","szmrecsanyi2009between"
"Bernd Kortmann","szmrecsanyi2009between"
"Søren Wichmann","wichmann_holman_2009"
"Eric W Holman","wichmann_holman_2009"
"Claire Bowern","bowern2010correlates"
"Vincenza Colonna","colonna2010long"
"Alessio Boattini","colonna2010long"
"Cristina Guardiano","colonna2010long"
"Irene Dall’Ara","colonna2010long"
"Davide Pettener","colonna2010long"
"Giuseppe Longobardi","colonna2010long"
"Guido Barbujani","colonna2010long"
"Gergely Csibra","csibra2010recognizing"
"Zsuzsanna Fagyal","fagyal2010centers"
"Samarth Swarup","fagyal2010centers"
"Anna M Escobar","fagyal2010centers"
"Les Gasser","fagyal2010centers"
"Kiran Lakkaraju","fagyal2010centers"
"W Tecumseh Fitch","fitch2010social"
"Ludwig Huber","fitch2010social"
"Thomas Bugnyar","fitch2010social"
"Bruno Galantucci","galantucci2010effects"
"Christian Kroos","galantucci2010effects"
"Theo Rhodes","galantucci2010effects"
"Michelle A Kline","kline2010population"
"Robert Boyd","kline2010population"
"Gary Lupyan","lupyan2010language"
"Rick Dale","lupyan2010language"
"Peter J Richerson","richerson2010possibly"
"Robert Boyd","richerson2010possibly"
"Gareth Roberts","roberts2010experimental"
"Denise Schmandt-Besserat","schmandt2010writing"
"Kaius Sinnemäki","sinnemaki2010word"
"Brian Skyrms","skyrms2010signals"
"Kenny Smith","smith2010eliminating"
"Elizabeth Wonnacott","smith2010eliminating"
"Monica Tamariz","tamarizBrownMurray2010literacy"
"J Erin Brown","tamarizBrownMurray2010literacy"
"Keelin M Murray","tamarizBrownMurray2010literacy"
"Quentin D Atkinson","atkinson2011phonemic"
"Aleksandrs Berdicevskis","berdicevskis2011email"
"Robert C Berwick","berwick2011songs"
"Kazuo Okanoya","berwick2011songs"
"Gabriel JL Beckers","berwick2011songs"
"Johan J Bolhuis","berwick2011songs"
"Claire Bowern","bowern2011does"
"Patience Epps","bowern2011does"
"Russell D Gray","bowern2011does"
"Jane Hill","bowern2011does"
"Keith Hunley","bowern2011does"
"Patrick McConvell","bowern2011does"
"Jason Zentz","bowern2011does"
"Andreea S Calude","Calude2011"
"Mark Pagel","Calude2011"
"Daniel BM Haun","haun2011plasticity"
"Christian J Rapold","haun2011plasticity"
"Gabriele Janzen","haun2011plasticity"
"Stephen C Levinson","haun2011plasticity"
"Hannah Little","little2011role"
"Steven T Piantadosi","piantadosi2011word"
"Harry Tily","piantadosi2011word"
"Edward Gibson","piantadosi2011word"
"Tom Rzeszutek","rzeszutek2011structure"
"Patrick E Savage","rzeszutek2011structure"
"Steven Brown","rzeszutek2011structure"
"Wendy Sandler","sandler2011gradual"
"Mark Aronoff","sandler2011gradual"
"Irit Meir","sandler2011gradual"
"Carol Padden","sandler2011gradual"
"Peter Trudgill","trudgill2011social"
"Peter Trudgill","trudgill2011sociolinguistic"
"Søren Wichmann","wichmann2011phonological"
"Taraka Rama","wichmann2011phonological"
"Eric W Holman","wichmann2011phonological"
"Andrea Baronchelli","baronchelli_biological_2012"
"Nick Chater","baronchelli_biological_2012"
"Romualdo Pastor-Satorras","baronchelli_biological_2012"
"Morten H Christiansen","baronchelli_biological_2012"
"Leon Bergen","bergen2012s"
"Noah Goodman","bergen2012s"
"Roger Levy","bergen2012s"
"Ryan Carroll","carroll2012quantifying"
"Ragnar Svare","carroll2012quantifying"
"Joseph C Salmons","carroll2012quantifying"
"Jennifer Culbertson","culbertson2012learning"
"Paul Smolensky","culbertson2012learning"
"Géraldine Legendre","culbertson2012learning"
"Evelina Fedorenko","fedorenko2012language"
"John Duncan","fedorenko2012language"
"Nancy Kanwisher","fedorenko2012language"
"David Garcia","garcia2012positive"
"Antonios Garas","garcia2012positive"
"Frank Schweitzer","garcia2012positive"
"Michael C Gavin","Gavin2012"
"Nokuthaba Sibanda","Gavin2012"
"Tao Gong","gong2012studying"
"Lan Shuai","gong2012studying"
"Monica Tamariz","gong2012studying"
"Gerhard Jäger","gong2012studying"
"Larry J Gorenflo","gorenflo2012co"
"Suzanne Romaine","gorenflo2012co"
"Russell A Mittermeier","gorenflo2012co"
"Kristen Walker-Painemilla","gorenflo2012co"
"Charles Kemp","kemp2012kinship"
"Terry Regier","kemp2012kinship"
"Victor Kuperman","kuperman2012age"
"Hans Stadthagen-Gonzalez","kuperman2012age"
"Marc Brysbaert","kuperman2012age"
"Claude Lévi-Strauss","levi2012tristes"
"Daniel Nettle","nettle2012social"
"Steven T Piantadosi","piantadosi2012communicative"
"Harry Tily","piantadosi2012communicative"
"Edward Gibson","piantadosi2012communicative"
"Gareth Roberts","roberts2012emergence"
"Bruno Galantucci","roberts2012emergence"
"Kim Sterelny","sterelny2012language"
"Michael Tomasello","tomasello2012two"
"Alicia P Melis","tomasello2012two"
"Claudio Tennie","tomasello2012two"
"Emily Wyman","tomasello2012two"
"Esther Herrmann","tomasello2012two"
"Ian C Gilby","tomasello2012two"
"Kristen Hawkes","tomasello2012two"
"Kim Sterelny","tomasello2012two"
"Emily Wyman","tomasello2012two"
"Michael Tomasello","tomasello2012two"
"Andrew Whiten","whiten2012human"
"David Erdal","whiten2012human"
"Christian Bentz","bentz2013languages"
"Bodo Winter","bentz2013languages"
"M Keith Chen","chen2013effect"
"Caleb Everett","Everett2013"
"Vanessa Ferdinand","ferdinand2013regularization"
"Bill Thompson","ferdinand2013regularization"
"Simon Kirby","ferdinand2013regularization"
"Kenny Smith","ferdinand2013regularization"
"Michael C Gavin","gavin2013toward"
"Carlos A Botero","gavin2013toward"
"Claire Bowern","gavin2013toward"
"Robert K Colwell","gavin2013toward"
"Michael Dunn","gavin2013toward"
"Robert R Dunn","gavin2013toward"
"Russell D Gray","gavin2013toward"
"Kathryn R Kirby","gavin2013toward"
"Joe McCarter","gavin2013toward"
"Adam Powell","gavin2013toward"
"Thiago F Rangel","gavin2013toward"
"John R Stepp","gavin2013toward"
"Michelle Trautwein","gavin2013toward"
"Jennifer L Verdolin","gavin2013toward"
"Gregor Yanega","gavin2013toward"
"Adrien Meguerditchian","meguerditchian2013origins"
"Jacques Vauclair","meguerditchian2013origins"
"William D Hopkins","meguerditchian2013origins"
"Shigeru Miyagawa","miyagawa2013emergence"
