"name","bibref"
"Ramon Ferrer-i-Cancho","Bentz2017"
"Damián E Blasi","Blasi_Moran_SLE_2017"
"Steven Moran","Blasi_Moran_SLE_2017"
"Ani Margvelashvili","Blasi_Moran_SLE_2017"
"Dan Dediu","Blasi_Moran_SLE_2017"
"Scott R Moisik","Blasi_Moran_SLE_2017"
"Nicole Creanza","creanza2017greater"
"Oren Kolodny","creanza2017greater"
"Marcus W Feldman","creanza2017greater"
"Bernard J Crespi","crespi2017segregating"
"Silven Read","crespi2017segregating"
"Peter Hurd","crespi2017segregating"
"Bart de Boer","de2017evolution"
"Robin IM Dunbar","dunbar2017group"
"T Mark Ellison","ellison2017language"
"Luisa Miceli","ellison2017language"
"Nicholas Evans","evans2017did"
"Caleb Everett","Everett2017"
"Koji Fujita","fujita2017parallel"
"Ellen C Garland","garland2017song"
"Luke E Rendell","garland2017song"
"Luca Lamoni","garland2017song"
"M Michael Poole","garland2017song"
"Michael J Noad","garland2017song"
"Romain Garnier","garnier17milk"
"Laurent Sagart","garnier17milk"
"Benoît Sagot","garnier17milk"
"Adam Kendon","kendon2017reflections"
"Anton Killin","killin2017did"
"Chris Knight","knight2017wild"
"JD Lewis","knight2017wild"
"Kevin N Laland","laland2017origins"
"King King Li","li2017does"
"Hannah Little","little2017conventionalisation"
"Kerem Eryılmaz","little2017conventionalisation"
"Bart de Boer","little2017conventionalisation"
"Hannah Little","little2017signal"
"Kerem Eryılmaz","little2017signal"
"Bart de Boer","little2017signal"
"A Müller","Mulleretal2017"
"R Weymuth","Mulleretal2017"
"Arto Mustajoki","mustajoki_2017"
"Marieke Olthof","olthof2017transparency"
"Bill Palmer","palmer2017does"
"Jonathon Lum","palmer2017does"
"Jonathan Schlossberg","palmer2017does"
"Alice Gaby","palmer2017does"
"Efrén O Pérez","perez2017language"
"Margit Tavits","perez2017language"
"Ronald J Planer","planer2017protolanguage"
"Ronald J Planer","planer2017talking"
"Kim Shaw-Williams","shaw2017social"
"Alexandra Simonenko","simonenko2017taraldsen"
"Benoıt Crabbé","simonenko2017taraldsen"
"Sophie Prévost","simonenko2017taraldsen"
"Christina Skelton","skelton_2017"
"Matthew Spike","spike2017minimal"
"Kevin Stadler","spike2017minimal"
"Simon Kirby","spike2017minimal"
"Kenny Smith","spike2017minimal"
"Ian Tattersall","tattersall2017material"
"Peeter Tinits","tinits2017usage"
"Jonas Nölle","tinits2017usage"
"Stefan Hartmann","tinits2017usage"
"Peter Trudgill","trudgill_2017"
"Monika Abels","abels2018speech"
"Paul Vogt","abels2018speech"
"Mark Atkinson","atkinson2018social"
"Gregory J Mills","atkinson2018social"
"Kenny Smith","atkinson2018social"
"Mark Atkinson","atkinsonetal2018"
"Kenny Smith","atkinsonetal2018"
"Simon Kirby","atkinsonetal2018"
"Raffaela Baechler","baechler2018absolute"
"Andreas Baumann","baumann2018linguistic"
"Antonio Benítez-Burraco","benitez2018emergence"
"Vera Kempe","benitez2018emergence"
"Christian Bentz","Bentz2018"
"Dan Dediu","Bentz2018"
"Annemarie Verkerk","Bentz2018"
"Gerhard Jäger","Bentz2018"
"Lindell Bromham","Bromham2018Parasites"
"Xia Hua","Bromham2018Parasites"
"Marcel Cardillo","Bromham2018Parasites"
"Hilde Schneemann","Bromham2018Parasites"
"Simon J Greenhill","Bromham2018Parasites"
"Andrew Butcher","butcher2019"
"Karen L Campbell","campbell2018language"
"Lorraine K Tyler","campbell2018language"
"Dan Dediu","dediu2018neanderthal"
"Stephen C Levinson","dediu2018neanderthal"
"Mellissa MC DeMille","demille2018worldwide"
"Kevin Tang","demille2018worldwide"
"Chintan M Mehta","demille2018worldwide"
"Christopher Geissler","demille2018worldwide"
"Jeffrey G Malins","demille2018worldwide"
"Natalie R Powers","demille2018worldwide"
"Beatrice M Bowen","demille2018worldwide"
"Andrew K Adams","demille2018worldwide"
"Dongnhu T Truong","demille2018worldwide"
"Jan C Frijters","demille2018worldwide"
"Jeffrey R Gruen","demille2018worldwide"
"Didier Demolin","demolin2018acoustic"
"Maxime Derex","derex2018divide"
"Charles Perreault","derex2018divide"
"Robert Boyd","derex2018divide"
"Curdin Derungs","derungs2018environmental"
"Martina Köhl","derungs2018environmental"
"Robert Weibel","derungs2018environmental"
"Balthasar Bickel","derungs2018environmental"
"Alexandre Celma-Miralles","evolang12CelmaMiralles"
"Juan M Toro","evolang12CelmaMiralles"
"Tania Delgado","evolang12Delago"
"Andrea Ravignani","evolang12Delago"
"Tessa Verhoef","evolang12Delago"
"Bill Thompson","evolang12Delago"
"Thomas Grossi","evolang12Delago"
"Simon Kirby","evolang12Delago"
"Andrew Feeney","evolang12Feeney"
"Marco Gamba","evolang12Gamba"
"Valeria Torti","evolang12Gamba"
"Daria Valente","evolang12Gamba"
"Chiara De Gregorio","evolang12Gamba"
"Olivier Friard","evolang12Gamba"
"Cristina Giacoma","evolang12Gamba"
"Reiko Mazuka","evolang12mazuka"
"Tadahisa Kondo","evolang12mazuka"
"Akiko Hayashi","evolang12mazuka"
"Jonas Nölle","evolang12NolleEnvironmental"
"Marlene Staib","evolang12NolleEnvironmental"
"Riccardo Fusaroli","evolang12NolleEnvironmental"
"Kristian Tylén","evolang12NolleEnvironmental"
"Kazuo Okanoya","evolang12okanoyaparasite"
"Limor Raviv","evolang12Raviv"
"Antje Meyer","evolang12Raviv"
"Shiri Lev-Ari","evolang12Raviv"
"Horst Feldmann","feldmann2018linguistic"
"W Tecumseh Fitch","fitch2018animals"
"Michael C Gavin","gavin2018global"
"Patrick H Kavanagh","gavin2018global"
"Hannah J Haynie","gavin2018global"
"Claire Bowern","gavin2018global"
"Carol R Ember","gavin2018global"
"Russell D Gray","gavin2018global"
"Fiona M Jordan","gavin2018global"
"Kathryn R Kirby","gavin2018global"
"Geoff Kushnick","gavin2018global"
"Bobbi S Low","gavin2018global"
"Bruno Vilela","gavin2018global"
"Carlos A Botero","gavin2018global"
"Asif A Ghazanfar","ghazanfar2018constraints"
"Diana A Liao","ghazanfar2018constraints"
"Gustaf Gredebäck","Gredebacketal2018"
"Kim Astor","Gredebacketal2018"
"Christine Fawcett","Gredebacketal2018"
"Simon J Greenhill","Greenhill2018"
"Xia Hua","Greenhill2018"
"Caela F Welsh","Greenhill2018"
"Hilde Schneemann","Greenhill2018"
"Lindell Bromham","Greenhill2018"
"Michael Griesser","griesser2018bird"
"David Wheatcroft","griesser2018bird"
"Toshitaka N Suzuki","griesser2018bird"
"Terhi Honkola","honkola18"
"Kalle Ruokolainen","honkola18"
"Kaj J J Syrjänen","honkola18"
"Unni-Päivä Leino","honkola18"
"Ilpo Tammi","honkola18"
"Niklas Wahlberg","honkola18"
"Outi Vesakoski","honkola18"
"James R Hurford","hurford2018mutation"
"Pamela Jakiela","jakiela_ozier_2018"
"Owen Ozier","jakiela_ozier_2018"
"Yukiko Kikuchi","kikuchi2018evolutionarily"
"William Sedley","kikuchi2018evolutionarily"
"Timothy D Griffiths","kikuchi2018evolutionarily"
"Christopher I Petkov","kikuchi2018evolutionarily"
"Chris Knight","knight2018trust"
"Martin Kuhlwilm","kuhlwilm2018evolution"
"Matz Larsson","larsson2018capacity"
"Benjamin W Abbott","larsson2018capacity"
"Shiri Lev-Ari","lev2018unforeseen"
"Emily Ho","lev2018unforeseen"
"Boaz Keysar","lev2018unforeseen"
"Peggy Li","li2018competing"
"Linda Abarbanell","li2018competing"
"Asifa Majid","majid2018differential"
"Seán G Roberts","majid2018differential"
"Ludy Cilissen","majid2018differential"
"Karen Emmorey","majid2018differential"
"Brenda Nicodemus","majid2018differential"
"Lucinda O’grady","majid2018differential"
"Bencie Woll","majid2018differential"
"Barbara LeLan","majid2018differential"
"Hilário De Sousa","majid2018differential"
"Brian L Cansler","majid2018differential"
"Shakila Shayani","majid2018differential"
"Connie de Vos","majid2018differential"
"Gunter Senft","majid2018differential"
"Nick J Enfield","majid2018differential"
"Rogayah A Razak","majid2018differential"
"Sebastian Fedden","majid2018differential"
"Sylvia Tufvesson","majid2018differential"
"Mark Dingemanse","majid2018differential"
"Ozge Ozturk","majid2018differential"
"Penelope Brown","majid2018differential"
"Clair Hill","majid2018differential"
"Olivier Le Guen","majid2018differential"
"Vincent Hirtzel","majid2018differential"
"Rik van Gijn","majid2018differential"
"Mark A Sicoli","majid2018differential"
"Stephen C Levinson","majid2018differential"
"Rogier B Mars","mars2018connectivity"
"Nicole Eichert","mars2018connectivity"
"Saad Jbabdi","mars2018connectivity"
"Lennart Verhagen","mars2018connectivity"
"Matthew FS Rushworth","mars2018connectivity"
"Astghik Mavisakalyan","mavisakalyan2018talking"
"Yashar Tarverdi","mavisakalyan2018talking"
"Clas Weber","mavisakalyan2018talking"
"Patrick McNamara","mcnamara2018dopamine"
"Raymon Durso","mcnamara2018dopamine"
"Shigeru Miyagawa","miyagawa2018cross"
"Cora Lesure","miyagawa2018cross"
"Vitor A Nóbrega","miyagawa2018cross"
"Francesca R Moro","moro2018plural"
"Elliot Murphy","murphy2018paleo"
"Antonio Benítez-Burraco","murphy2018paleo"
"Johanna Nichols","nichols2018morphological"
"Christian Bentz","nichols2018morphological"
"Luca Onnis","onnis2018language"
"Anna Truzzi","onnis2018language"
"Xiaomeng Ma","onnis2018language"
"Florencia Reali","reali2018simpler"
"Nick Chater","reali2018simpler"
"Morten H Christiansen","reali2018simpler"
"Gareth Roberts","roberts2018social"
"Maryia Fedzechkina","roberts2018social"
"Sara Rolando","rolando2018compressible"
"Simon Kirby","rolando2018compressible"
"Kenny Smith","rolando2018compressible"
"Konrad Rudnicki","rudnicki2012evolang12"
"Charlotte De Backer","rudnicki2012evolang12"
"Carolyn Declerck","rudnicki2012evolang12"
"Katrin Schulze","schulze2018phonological"
"Faraneh Vargha-Khadem","schulze2018phonological"
"Mortimer Mishkin","schulze2018phonological"
"Jose Segovia-Martin","SegoviaMartinevolang12"
"Monica Tamariz","SegoviaMartinevolang12"
"Robert Seyfarth","seyfarth2018pragmatic"
"Dorothy Cheney","seyfarth2018pragmatic"
"Ruth Singer","singer2018small"
"Kaius Sinnemäki","sinnemakidigarbo2018"
"Francesca Di Garbo","sinnemakidigarbo2018"
"Kenny Smith","smith2018cognitive"
"Matthew Spike","spike2018complexity"
"Nicky Staes","staes2018genetic"
"Brenda J Bradley","staes2018genetic"
"William D Hopkins","staes2018genetic"
"Chet C Sherwood","staes2018genetic"
"Jill Vaughan","vaughan2018indigenous"
"Ruth Singer","vaughan2018indigenous"
"Sonja Vernes","vernes2018bats"
"Ella Lattenkamp","vernes2018bats"
"Ksenia Lavrichenko","vernes2018bats"
"Janine Mengede","vernes2018bats"
"Erin G Wessling","wessling2018costs"
"Hjalmar S Kühl","wessling2018costs"
"Roger Mundry","wessling2018costs"
"Tobias Deschner","wessling2018costs"
"Jill D Pruetz","wessling2018costs"
"Marieke Woensdregt","woensdregt2018perspective"
"Kenny Smith","woensdregt2018perspective"
"Chris Cummins","woensdregt2018perspective"
"Simon Kirby","woensdregt2018perspective"
"Shuqin Xu","xu2018foxp2"
"Pei Liu","xu2018foxp2"
"Yuanxing Chen","xu2018foxp2"
"Yi Chen","xu2018foxp2"
"Wei Zhang","xu2018foxp2"
"Haixia Zhao","xu2018foxp2"
"Yiwei Cao","xu2018foxp2"
"Fuhua Wang","xu2018foxp2"
"Nana Jiang","xu2018foxp2"
"Shifeng Lin","xu2018foxp2"
"Willem Zuidema","zuidema2018evolution"
"Bart de Boer","zuidema2018evolution"
"Damián E Blasi","Blasietal2019"
"Steven Moran","Blasietal2019"
"Scott R Moisik","Blasietal2019"
"Paul Widmer","Blasietal2019"
"Dan Dediu","Blasietal2019"
"Balthasar Bickel","Blasietal2019"
"Dan Dediu","Dediu2019Aug"
"Rick Janssen","Dediu2019Aug"
"Scott R Moisik","Dediu2019Aug"
"Vanessa Ferdinand","ferdinand2019cognitive"
"Simon Kirby","ferdinand2019cognitive"
"Kenny Smith","ferdinand2019cognitive"
"Anelisa Fergus","fergus19otitis"
"Karlien Franco","franco_concept_2019"
"Dirk Geeraerts","franco_concept_2019"
"Dirk Speelman","franco_concept_2019"
"Roeland Van Hout","franco_concept_2019"
"Xia Hua","hua2019ecological"
"Simon J Greenhill","hua2019ecological"
"Marcel Cardillo","hua2019ecological"
"Hilde Schneemann","hua2019ecological"
"Lindell Bromham","hua2019ecological"
"Alexander Koplenig","koplenig2019language"
"Padraic Monaghan","monaghan2019cognitive"
"Seán G Roberts","monaghan2019cognitive"
"Amy Niego","niego2019williams"
"Antonio Benítez-Burraco","niego2019williams"
"Dmitry Nikolaev","Nikolaev2019"
"Marco Túlio Pacheco Coelho","Pacheco_Coelho_2019"
"Elisa Barreto Pereira","Pacheco_Coelho_2019"
"Hannah J Haynie","Pacheco_Coelho_2019"
"Thiago F Rangel","Pacheco_Coelho_2019"
"Patrick H Kavanagh","Pacheco_Coelho_2019"
"Kathryn R Kirby","Pacheco_Coelho_2019"
"Simon J Greenhill","Pacheco_Coelho_2019"
"Claire Bowern","Pacheco_Coelho_2019"
"Russell D Gray","Pacheco_Coelho_2019"
"Robert K Colwell","Pacheco_Coelho_2019"
"Nicholas Evans","Pacheco_Coelho_2019"
"Michael C Gavin","Pacheco_Coelho_2019"
"Péter Rácz","Racz_Passmore_Jordan_2019"
"Sam Passmore","Racz_Passmore_Jordan_2019"
"Fiona M Jordan","Racz_Passmore_Jordan_2019"
"Laurent Sagart","Sagart10317"
"Guillaume Jacques","Sagart10317"
"Yunfan Lai","Sagart10317"
"Robin J Ryder","Sagart10317"
"Valentin Thouzeau","Sagart10317"
"Simon J Greenhill","Sagart10317"
"Johann-Mattis List","Sagart10317"
"S Frank","evolang13_52"
"K Smith","evolang13_52"
"Haruka Fujita","fujita2020co"
