"","TODO","bibref","Var1","Relation","Var2","Cor","Process","Topic","Stage","Type","Subtype","Test","Stat","Confirmed","Languages","Species","Confidence","Notes","General.description"
"10","","nettle06costsAndBenefits","verbal communication",">","learning cost","neg","","signalling","coevolution","hypothesis","","","","yes","","","","",""
"11","","nettle06costsAndBenefits","verbal communication",">","honest signalling","neg","","signalling","coevolution","hypothesis","","","","yes","","","","",""
"12","","nettle06costsAndBenefits","verbal communication",">","lie detection","pos","","signalling","coevolution","hypothesis","","","","yes","","","","",""
