"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"copying: from memory",">","compressibility: recognizeability","none","","cultural evolution","experiment","yes","Iterated copying of drawings","tamariz2015culture"
"copying: from memory",">","compressibility: simplicity","none","","cultural evolution","experiment","yes","Iterated copying of drawings","tamariz2015culture"
"copying: from view","/>","compressibility: recognizeability","none","","cultural evolution","experiment","yes","Iterated copying of individual drawings","tamariz2015culture"
"copying: from view","/>","compressibility: simplicity","none","","cultural evolution","experiment","yes","Iterated copying of drawings","tamariz2015culture"
