"name","bibref"
"Joseph C Salmons","carroll2012quantifying"
"Evelina Fedorenko","fedorenko2012language"
"John Duncan","fedorenko2012language"
"Nancy Kanwisher","fedorenko2012language"
"Tao Gong","gong2012studying"
"Lan Shuai","gong2012studying"
"Monica Tamariz","gong2012studying"
"Gerhard Jäger","gong2012studying"
"Charles Kemp","kemp2012kinship"
"Terry Regier","kemp2012kinship"
"Daniel Nettle","nettle2012social"
"Gareth Roberts","roberts2012emergence"
"Bruno Galantucci","roberts2012emergence"
"Michael Tomasello","tomasello2012two"
"Alicia P Melis","tomasello2012two"
"Claudio Tennie","tomasello2012two"
"Emily Wyman","tomasello2012two"
"Esther Herrmann","tomasello2012two"
"Ian C Gilby","tomasello2012two"
"Kristen Hawkes","tomasello2012two"
"Kim Sterelny","tomasello2012two"
"Emily Wyman","tomasello2012two"
"Michael Tomasello","tomasello2012two"
"Andrew Whiten","whiten2012human"
"David Erdal","whiten2012human"
"Christian Bentz","bentz2013languages"
"Bodo Winter","bentz2013languages"
"Caleb Everett","Everett2013"
"Vanessa Ferdinand","ferdinand2013regularization"
"Bill Thompson","ferdinand2013regularization"
"Simon Kirby","ferdinand2013regularization"
"Kenny Smith","ferdinand2013regularization"
"Michael C Gavin","gavin2013toward"
"Carlos A Botero","gavin2013toward"
"Claire Bowern","gavin2013toward"
"Robert K Colwell","gavin2013toward"
"Michael Dunn","gavin2013toward"
"Robert R Dunn","gavin2013toward"
"Russell D Gray","gavin2013toward"
"Kathryn R Kirby","gavin2013toward"
"Joe McCarter","gavin2013toward"
"Adam Powell","gavin2013toward"
"Thiago F Rangel","gavin2013toward"
"John R Stepp","gavin2013toward"
"Michelle Trautwein","gavin2013toward"
"Jennifer L Verdolin","gavin2013toward"
"Gregor Yanega","gavin2013toward"
"Shigeru Miyagawa","miyagawa2013emergence"
"Robert C Berwick","miyagawa2013emergence"
"Kazuo Okanoya","miyagawa2013emergence"
"Manuel Mueller-Frank","mueller2013general"
"Mark Pagel","pagel2013ultraconserved"
"Quentin D Atkinson","pagel2013ultraconserved"
"Andreea S Calude","pagel2013ultraconserved"
"Andrew Meade","pagel2013ultraconserved"
"Terrence Twomey","twomey2013cognitive"
"Tatsuya Amano","amano2014global"
"Brody Sandel","amano2014global"
"Heidi Eager","amano2014global"
"Edouard Bulteau","amano2014global"
"Jens-Christian Svenning","amano2014global"
"Bo Dalsgaard","amano2014global"
"Carsten Rahbek","amano2014global"
"Richard G Davies","amano2014global"
"William J Sutherland","amano2014global"
"Jacob Bock Axelsen","axelsen2014river"
"Susanna Manrubia","axelsen2014river"
"Raffaela Baechler","baechler2014diachronic"
"Scott DeLancey","delancey_2014"
"Nicolas Fay","fay2014creating"
"Casey J Lister","fay2014creating"
"T Mark Ellison","fay2014creating"
