"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"contact: language",">","size of inventory: morphological",NA,"Morphology;Complexity","language change","statistical","yes","The author shows that language spreads lead to less complex structures in spread zones and more complex structures in the peripheries of spreads in North Eurasia.","nichols2016"
"contact: language",">","language structure: transparency",NA,"Morphology;Complexity","language change","statistical","yes","The author shows that language spreads lead to less complex structures in spread zones and more complex structures in the peripheries of spreads in North Eurasia.","nichols2016"
