"","TODO","bibref","Var1","Relation","Var2","Cor","Process","Topic","Stage","Type","Subtype","Test","Stat","Confirmed","Languages","Species","Confidence","Notes","General.description"
"146","","evolang11_41","self-domestication",">","gene: SOX9","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"147","","evolang11_41","self-domestication",">","gene: SOX2","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"148","","evolang11_41","self-domestication",">","gene: MTIF","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"149","","evolang11_41","self-domestication",">","gene: MAGOH","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"150","","evolang11_41","self-domestication",">","gene: FGF8","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"151","","evolang11_41","self-domestication",">","gene: EDNRB","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"152","","evolang11_41","self-domestication",">","gene: RET","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"153","","evolang11_41","self-domestication",">","gene: TCOF1","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"154","","evolang11_41","self-domestication",">","gene: BMP7","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"155","","evolang11_41","self-domestication",">","gene: BMP2","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"156","","evolang11_41","self-domestication",">","gene: CDC42","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"157","","evolang11_41","self-domestication",">","gene: CTNNB1","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"158","","evolang11_41","self-domestication",">","gene: DLX5","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"159","","evolang11_41","self-domestication",">","gene: DLX6","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"160","","evolang11_41","self-domestication",">","gene: FGFR1","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"161","","evolang11_41","self-domestication",">","gene: PAX6","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"162","","evolang11_41","self-domestication",">","gene: SHH","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"163","","evolang11_41","self-domestication",">","gene: VCAN","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
