"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"broca's area: BA45","~","human language","pos","neurobiology","preadaptation","experiment","yes","We found two distinct subregions, each present in at least 90% of subjects individually, with strikingly different but highly reliable functional profiles, lying side by side within Broca’s area and each spanning the BA44/45 boundary (Figure 1). One subregion, identified in each subject as responding more during the processing of sentences than nonwords, showed little response to any other task, with the BA45 portion being particularly selective","fedorenko2012language"
"broca's area: BA44","~","cognition","pos","neurobiology","preadaptation","experiment","yes","In contrast, another set of subregions exhibited extreme domain generality (Figure 2, bottom row; see also Table 1), with a greater response to the harder than the easier condition in each of the seven tasks, regardless of stimulus (verbal/nonverbal) and task (arithmetic/working memory/inhibition).","fedorenko2012language"
