"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"perceptual space",">","choice of demonstrative",NA,"Spatial language;Deixis",NA,"experiment","yes","(proximal vs distal)","coventry2008language"
"tool use",">","perceptual space",NA,"Spatial language;Deixis",NA,"experiment","yes","","coventry2008language"
"social interaction: physical distance",">","perceptual space",NA,"Spatial language;Deixis",NA,"experiment","yes","","coventry2008language"
