"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"language diversity","~","latitude","neg",NA,"language change","statistical","none","","derungs2018environmental"
"language diversity","~","climate: rainfall","pos",NA,"language change","statistical","none","","derungs2018environmental"
"language diversity","~","physical terrain: roughness","pos",NA,"language change","statistical","none","","derungs2018environmental"
"language diversity","~","physical terrain: river density","pos",NA,"language change","statistical","none","This correlation is scale dependent","derungs2018environmental"
