"X","TODO","bibref","Var1","Relation","Var2","Cor","Process","Topic","Stage","Type","Subtype","Test","Stat","Confirmed","Languages","Species","Confidence","Notes","General.description"
189,NA,"macwhinney2005language","bipedalism",">","gestures: hand gesturing","pos",NA,NA,"preadaptation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,NA,"macwhinney2005language","bipedalism",">","face to face communication","pos",NA,NA,"preadaptation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
