"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"proportion of L2 learners",">","inflectional syntheticity","neg","Morphology;Complexity","cultural evolution","statistical","yes","Authors show that the degree of inflectional synthesis on the verb is affected by both proportion of L2 learners and population size (accepted paper; details will follow later).","sinnemakidigarbo2018"
"population size",">","inflectional syntheticity","neg","Morphology;Complexity","cultural evolution","statistical","yes","Authors show that the degree of inflectional synthesis on the verb is affected by both proportion of L2 learners and population size (accepted paper; details will follow later).","sinnemakidigarbo2018"
