"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"segment inventory",">","word length","neg","","language change","statistical","yes","""Functional theories of language structure predict that as the number of contrastive segments in a language incrases, the average length of a word will decrease""","Nettle1995"
"word length","~","memory capacity","none","","language change","statistical","none","'The mean length of a word in each language is close to the ""magic number"" of 7±2 segments'","Nettle1995"
