"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"physical sound structure","~","motivation of use","none","","none","hypothesis","none","","evolang12mazuka"
"motivation-structure rule hypothesis",">","infant-directed speech","none","","none","experiment","none","","evolang12mazuka"
"infant-directed speech",">","attract attention ","none","","none","review","none","","evolang12mazuka"
"infant-directed speech",">","language acquisition","none","","none","","none","","evolang12mazuka"
"infant-directed speech",">","communicate affects","none","","none","","none","","evolang12mazuka"
