"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"creolization","/>","morphological complexity: paradigmatic","","morphology","language change","statistical","","","Good2015"
"creolization",">","morphological complexity: syntagmatic","","morphology","language change","statistical","","","Good2015"
