"","TODO","bibref","Var1","Relation","Var2","Cor","Process","Topic","Stage","Type","Subtype","Test","Stat","Confirmed","Languages","Species","Confidence","Notes","General.description"
"42","","dipaolo99onThe","social network average degree",">","symmetry breaking","neg","","signalling","cultural evolution","model","communication game","","","yes","","","","",""
"43","","dipaolo99onThe","symmetry breaking",">","shared language","pos","","signalling","cultural evolution","model","communication game","","","yes","","","","",""
"44","","dipaolo99onThe","genetic selection: location of conspecific",">","turn taking","pos","","signalling","cultural evolution","model","communication game","","","yes","","","","",""
