"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"referential context","~","acquisition of word segmentation","pos","Bayesian models","language change","model","none","Effects of context on segmentation","goldwater2009bayesian"
"referential context","~","accurate signalling","pos","Bayesian models","language change","model","none","","goldwater2009bayesian"
