"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"traditional transmission",">","cultural selection: learnability","pos","","cultural evolution","experiment","none","iterated learning of artificial miniature languages","kirby2015compression"
"communicative interaction",">","cultural selection: expressivity","pos","","cultural evolution","experiment","none","iterated learning of artificial miniature languages","kirby2015compression"
"traditional transmission",">","cultural selection: systematicity","pos","","cultural evolution","experiment","none","iterated learning of artificial miniature languages","kirby2015compression"
"communicative interaction",">","cultural selection: systematicity","pos","","cultural evolution","experiment","none","iterated learning of artificial miniature languages","kirby2015compression"
"cultural selection: expressivity",">","cultural selection: systematicity","pos","","cultural evolution","experiment","none","iterated learning of artificial miniature languages","kirby2015compression"
"cultural selection: learnability",">","cultural selection: systematicity","pos","","cultural evolution","experiment","none","iterated learning of artificial miniature languages","kirby2015compression"
