"X","TODO","bibref","Var1","Relation","Var2","Cor","Process","Topic","Stage","Type","Subtype","Test","Stat","Confirmed","Languages","Species","Confidence","Notes","General.description"
96,NA,"evolang11_148","genetic selection: information processing",">","brain network topology: small world networks","pos",NA,"Lexicology","preadaptation","statistical","corpus",NA,NA,"yes",NA,NA,"?",NA,NA
97,NA,"evolang11_148","Down syndrome",">","brain network topology: small world networks","neg",NA,"Lexicology","preadaptation","statistical","corpus",NA,NA,"yes",NA,NA,"?",NA,NA
