"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"population connectivity",">","shared language","pos","Population structure","language change","model","","","lee2005role"
"learning fidelity",">","shared language","pos","Population structure","language change","model","","","lee2005role"
