"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"task-instruction",">","flexibility of non-linguistic frame of reference","","spatial language","","experiment","yes","","li2018competing"
"norms of speech community",">","non-linguistic frame of reference","","spatial language","cultural evolution","hypothesis","","","li2018competing"
"linguistic frame of reference","/>","non-linguistic frame of reference","","spatial language","cultural evolution","experiment","yes","","li2018competing"
"flexibility of non-linguistic frame of reference","~","non-linguistic frame of reference","","spatial language","cultural evolution","hypothesis","","","li2018competing"
"norms of speech community","~=","task-instruction","","spatial language","cultural evolution","hypothesis","","","li2018competing"
