"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"population connectivity",">","conventionalisation","pos","Network structure","cultural evolution","model","none","","centola2007complex"
"social interaction: physical distance",">","conventionalisation","neg","Netwrok structure","cultural evolution","model","none","","centola2007complex"
"social interaction: physical distance","~","population connectivity","n-m","Network structure","cultural evolution","model","none","","centola2007complex"
"social interaction: physical distance",">","diffusion of variants","neg","Network structure","cultural evolution","model","none","","centola2007complex"
"diffusion of variants",">","conventionalisation","neg","Network structure","cultural evolution","model","none","","centola2007complex"
