"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"population connectivity","~","time to convergence","neg","Rational learning","cultural evolution","logical","none","","mueller2013general"
"degree of shared information","~","time to convergence","n-m","Rational learning","cultural evolution","logical","none","","mueller2013general"
