"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"homophily",">","cultural diversity","n-m","","cultural evolution","model","yes",NA,"centola2007homophily"
"social influence variation",">","cultural diversity","n-m","Social network analysis","cultural evolution","model","yes",NA,"centola2007homophily"
"social interaction","<=>","population connectivity","pos","Social network analysis","cultural evolution","model","none",NA,"centola2007homophily"
"population connectivity","~","cultural diversity","n-m","Social network analysis","coevolution","model","none",NA,"centola2007homophily"
