"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"familiar language",">","uncertainty avoidance","","Cooperation;;Behavioural psychology","cultural evolution","experiment","yes","subjects are more likely to exhibit culture-specific preference in risky choiceswhen using the familiar language","li2017does"
"familiar language",">","trust","pos","Cooperation;;Behavioural psychology","cultural evolution","experiment","yes","Expectation - based Hypothesis; strategic trust games","li2017does"
"trust",">","prosociality","pos","Cooperation;;Behavioural psychology","cultural evolution","experiment","yes","Expectation - based Hypothesis; strategic trust games","li2017does"
