"X","TODO","bibref","Var1","Relation","Var2","Cor","Process","Topic","Stage","Type","Subtype","Test","Stat","Confirmed","Languages","Species","Confidence","Notes","General.description"
71,NA,"evolang11_8","broca's area",">","lexical selection","pos",NA,"Lexicology;Syntax","preadaptation","review","aphasia",NA,NA,NA,NA,NA,"",NA,NA
72,NA,"evolang11_8","wernicke's area",">","syntactic sequencing","pos",NA,"Lexicology;Syntax","preadaptation","review","aphasia",NA,NA,NA,NA,NA,"?",NA,NA
