"X","TODO","bibref","Var1","Relation","Var2","Cor","Process","Topic","Stage","Type","Subtype","Test","Stat","Confirmed","Languages","Species","Confidence","Notes","General.description"
59,NA,"vogt07ECAL","population size",">","compositionality","pos",NA,"Syntax","cultural evolution","model","mathematical?",NA,NA,"",NA,NA,NA,NA,NA
60,NA,"vogt07ECAL","compositionality",">","shared language","pos",NA,"Cooperation","cultural evolution","model","mathematical?",NA,NA,"yes",NA,NA,NA,NA,NA
