"","TODO","bibref","Var1","Relation","Var2","Cor","Process","Topic","Stage","Type","Subtype","Test","Stat","Confirmed","Languages","Species","Confidence","Notes","General.description"
"61","","vogt03ecal","role swapping",">","shared language: lexical similarity","pos","","signalling","cultural evolution","simulation","communication game","","","yes","","","","",""
"62","","vogt03ecal","role swapping",">","communicative success","neg","","signalling","cultural evolution","simulation","communication game","","","yes","","","","",""
