"","TODO","bibref","Var1","Relation","Var2","Cor","Process","Topic","Stage","Type","Subtype","Test","Stat","Confirmed","Languages","Species","Confidence","Notes","General.description"
"13","","selten07languageEmergencePNAS","segment inventory",">","shared language","pos","","signalling","coevolution","simulation","communication game","","","yes","","","","",""
"14","","selten07languageEmergencePNAS","production cost",">","shared language","neg","","signalling","coevolution","simulation","communication game","","","yes","","","","",""
"15","","selten07languageEmergencePNAS","communication role asymmetry",">","shared language","pos","","signalling","coevolution","simulation","communication game","","","yes","","","","",""
"16","","selten07languageEmergencePNAS","environmental stability",">","compositionality","neg","","signalling","coevolution","simulation","communication game","","","yes","","","","",""
