"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"language diversity","~","mammalian diversity","pos",NA,"language change","statistical","yes",NA,"TurveyPettorelli2014"
"language endangerment","~","mammalian endangerment","neg",NA,"language change","statistical","none",NA,"TurveyPettorelli2014"
