"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"content bias",">","time to convergence","neg","","cultural evolution","model",NA,NA,"tamariz2014cultural"
"egocentric bias",">","time to convergence","neg","","cultural evolution","model",NA,NA,"tamariz2014cultural"
"mutation",">","time to convergence","pos","","cultural evolution","model",NA,NA,"tamariz2014cultural"
"allocentric bias",">","time to convergence","neg","","cultural evolution","model",NA,NA,"tamariz2014cultural"
"memory capacity",">","time to convergence","pos","","cultural evolution","model",NA,NA,"tamariz2014cultural"
