"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"cultural transmission",">","structural convergence","","","","review","","","evolang12Delago"
"structural convergence",">","rhythmic phrases","","","","experiment","","","evolang12Delago"
"structural convergence",">","discrete pitch contours","","","","experiment","","","evolang12Delago"
"structural convergence",">","melodic phrases","","","","experiment","","","evolang12Delago"
"structural convergence",">","motif repetition","","","","experiment","","","evolang12Delago"
"rhythmic phrases",">","musical structure universals","","","","logical","","","evolang12Delago"
"discrete pitch contours",">","musical structure universals","","","","logical","","","evolang12Delago"
"motif repetition",">","musical structure universals","","","","logical","","","evolang12Delago"
"melodic phrases",">","musical structure universals","","","","","","","evolang12Delago"
