"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"foreigner-directed speech",">","morphological complexity","neg","","language change","experiment","no","","little2011role"
"population contact",">","foreigner-directed speech","pos","","language change","logical","none","","little2011role"
