"X","TODO","bibref","Var1","Relation","Var2","Cor","Process","Topic","Stage","Type","Subtype","Test","Stat","Confirmed","Languages","Species","Confidence","Notes","General.description"
221,NA,"evolang11_39","semantic relations",">","processing cost","pos",NA,"Syntax","cultural evolution","experiment","artificial language learning",NA,NA,NA,NA,NA,NA,"",NA
222,NA,"evolang11_39","processing cost",">","cultural selection: word order","pos",NA,"Syntax","cultural evolution","experiment","artificial language learning",NA,NA,NA,NA,NA,NA,"",NA
223,NA,"evolang11_39","cultural selection: word order",">","order of adjective, numeral, demonstrative and noun","pos",NA,"Syntax","cultural evolution","experiment","artificial language learning",NA,NA,NA,NA,NA,NA,"Greenberg universal 20",NA
