"","TODO","bibref","Var1","Relation","Var2","Cor","Process","Topic","Stage","Type","Subtype","Test","Stat","Confirmed","Languages","Species","Confidence","Notes","General.description"
"79","","evolang11_200","hierarchical processing",">","beat induction","pos","","music","preadaptation","review","neuroscience","","","","","","","",""
"80","","evolang11_200","auditory-motor coupling",">","beat induction","pos","","music","preadaptation","review","neuroscience","","","","","","","",""
"81","","evolang11_200","cognition: prediction",">","beat induction","pos","","music","preadaptation","review","neuroscience","","","","","","","",""
"82","","evolang11_200","social interaction",">","beat induction","pos","","music","preadaptation","review","neuroscience","","","","","","","",""
"83","","evolang11_200","mirror neurons",">","social learning: imitation","pos","Social Learning Hypothesis","music","preadaptation","review","neuroscience","","","","","","","Based on Fitch (2012)  The biology and evolution of rhythm: unravelling a paradox",""
"84","","evolang11_200","social learning: imitation",">","beat induction","pos","Social Learning Hypothesis","music","preadaptation","review","neuroscience","","","","","","","Based on Fitch (2012)  The biology and evolution of rhythm: unravelling a paradox",""
"85","","evolang11_200","beat induction",">","music","pos","","music","preadaptation","review","neuroscience","","","","","","","Based on Fitch (2012)  The biology and evolution of rhythm: unravelling a paradox",""
