"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"vocal tract morphology",">","vowel acoustics","","phonetics","language change","simulation","yes","","Dediu2019Aug"
"anatomy",">","vowel acoustics","","phonetics","language change","simulation","yes","","Dediu2019Aug"
"hard palate shape",">","vowel acoustics","","phonetics","language change","simulation","yes","","Dediu2019Aug"
"genetic variation",">","anatomy","","","","","","","Dediu2019Aug"
"genetic variation",">","vocal tract morphology","","","","","","","Dediu2019Aug"
"genetic variation",">","hard palate shape","","","","","","","Dediu2019Aug"
