"X","Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
1,"population size",">","lexicon:rate of cognate loss","neg","Historical linguistics","language change","statistical","none",NA,"bromham2015rate"
2,"population size",">","lexicon:rate of cognate gain","pos","Historical linguistics","language change","statistical","none",NA,"bromham2015rate"
