"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"linguistic frame of reference",">","non-linguistic frame of reference","","Spatial language;Deixis","cultural evolution","qualitative","yes",NA,"brown1993uphill"
"linguistic frame of reference","~","preference: absolute frame of reference","","Spatial language;Deixis","cultural evolution","qualitative","yes",NA,"brown1993uphill"
"preference: absolute frame of reference",">","relative spatial cognition","neg","Spatial language;Deixis","cultural evolution","qualitative","yes",NA,"brown1993uphill"
"non-linguistic frame of reference","~","relative spatial cognition","","Spatial language;Deixis","cultural evolution","qualitative","yes",NA,"brown1993uphill"
"preference: absolute frame of reference",">","absolute spatial cognition","pos","Spatial language;Deixis","cultural evolution","qualitative","yes",NA,"brown1993uphill"
"preference: absolute frame of reference",">","non-linguistic frame of reference","","Spatial language;Deixis","cultural evolution","qualitative","yes",NA,"brown1993uphill"
